Student_ID,Study_Hours,Attendance,Previous_Score,Extracurricular,Sleep_Hours,Internet_Access,Final_Score,Status
86,11.0,91.5,51.7,1,4.8,1,79.0,Pass
87,22.3,100.0,62.4,1,5.9,0,100.0,Pass
88,17.6,88.6,67.8,0,8.8,0,92.8,Pass
89,10.8,81.1,63.2,1,8.4,1,94.5,Pass
90,19.1,82.1,91.8,0,7.4,0,93.3,Pass
91,15.8,83.9,74.9,1,4.7,1,90.4,Pass
92,22.7,84.4,74.5,0,6.7,1,91.8,Pass
93,9.4,95.9,79.3,1,7.5,1,95.9,Pass
94,12.4,85.8,52.9,1,7.3,1,78.6,Pass
95,11.9,96.0,85.6,0,4.2,1,89.5,Pass
96,3.3,83.8,68.9,1,5.7,1,73.1,Pass
97,17.4,86.2,80.1,0,6.9,1,98.2,Pass
98,17.1,55.0,53.9,1,7.8,1,82.1,Pass
99,15.0,98.7,46.7,0,4.0,1,74.9,Pass
100,13.1,90.2,82.3,0,6.8,1,100.0,Pass
101,3.7,100.0,75.6,1,7.2,1,100.0,Pass
102,11.6,41.6,56.5,0,8.3,1,67.5,Pass
103,12.3,100.0,57.0,1,8.0,0,88.7,Pass
104,8.6,82.9,86.9,0,7.9,1,100.0,Pass
105,13.7,100.0,52.2,0,5.8,0,78.7,Pass
106,18.2,69.4,94.6,0,4.1,1,89.0,Pass
107,30.1,94.2,56.5,0,6.4,0,99.2,Pass
108,16.4,69.2,79.6,0,8.5,1,96.1,Pass
109,17.1,75.6,65.1,0,9.1,1,90.9,Pass
110,14.4,100.0,79.0,0,8.1,1,96.8,Pass
111,2.0,82.1,61.8,0,7.6,1,71.7,Pass
112,14.8,88.3,67.6,1,7.6,1,92.0,Pass
113,15.5,98.1,70.6,1,6.2,1,92.0,Pass
114,34.7,92.4,55.0,0,6.8,1,100.0,Pass
115,13.5,87.3,81.1,1,9.5,1,96.4,Pass
116,17.4,90.5,62.3,0,5.6,1,81.7,Pass
117,14.7,100.0,66.6,1,9.4,1,100.0,Pass
118,5.7,84.1,55.1,1,6.5,1,77.0,Pass
119,24.1,88.0,31.6,1,9.0,0,84.1,Pass
120,21.0,100.0,67.1,0,4.9,1,95.4,Pass
121,21.3,100.0,100.0,1,7.9,1,100.0,Pass
122,7.7,100.0,81.8,0,5.9,1,82.8,Pass
123,26.2,94.6,69.7,1,4.9,1,100.0,Pass
124,3.8,67.9,66.1,0,7.3,1,67.7,Pass
125,19.7,100.0,70.3,1,8.5,1,100.0,Pass
126,32.5,67.8,78.2,1,5.7,1,100.0,Pass
127,7.1,89.5,52.3,1,4.8,1,77.3,Pass
128,10.5,73.7,86.7,0,6.9,1,82.4,Pass
129,15.8,84.0,80.7,1,6.9,1,95.3,Pass
130,11.0,89.9,80.8,0,7.8,1,95.8,Pass
131,2.6,89.8,76.6,1,8.4,1,88.5,Pass
132,15.5,91.3,70.3,0,6.9,1,91.3,Pass
133,6.5,100.0,80.1,0,9.8,1,96.2,Pass
134,18.8,91.8,78.9,0,7.3,0,93.4,Pass
135,7.6,81.3,64.7,0,6.5,1,78.1,Pass
136,27.4,99.5,61.4,0,4.6,1,88.6,Pass
137,8.7,100.0,71.5,0,6.6,1,95.2,Pass
138,12.4,66.6,93.2,0,6.5,1,87.8,Pass
139,21.5,94.0,51.4,1,8.4,0,92.0,Pass
140,5.2,95.5,48.0,1,7.7,1,92.8,Pass
141,16.8,80.5,72.5,0,5.2,1,87.7,Pass
142,25.5,100.0,70.8,0,7.3,1,99.3,Pass
143,2.1,82.7,72.6,0,8.0,1,84.9,Pass
144,16.5,86.9,73.7,0,9.3,0,96.0,Pass
145,17.1,82.4,66.7,1,8.3,1,96.1,Pass
146,21.3,85.2,92.3,1,8.1,1,100.0,Pass
147,5.1,68.6,46.0,0,7.1,1,70.2,Pass
148,4.4,63.4,57.6,0,7.6,1,68.2,Pass
149,19.2,100.0,68.5,0,8.9,1,100.0,Pass
150,17.4,72.3,45.4,1,5.0,1,69.4,Pass
151,17.0,70.1,67.4,1,6.5,1,84.4,Pass
152,17.8,52.7,94.9,0,5.8,1,93.1,Pass
153,9.6,75.4,70.3,0,7.6,1,78.4,Pass
154,16.9,65.2,73.5,1,8.8,1,86.8,Pass
155,17.3,100.0,51.1,1,6.1,1,91.1,Pass
156,9.3,100.0,60.8,0,4.0,1,77.6,Pass
157,29.9,74.7,64.4,0,6.4,1,83.7,Pass
158,18.8,100.0,65.2,0,8.4,1,98.0,Pass
159,5.5,99.7,89.2,0,7.8,1,95.4,Pass
160,20.3,80.1,78.4,0,7.6,1,95.0,Pass
161,7.2,47.5,53.3,0,6.6,1,61.9,Pass
162,21.3,100.0,73.7,0,5.1,1,99.0,Pass
163,24.3,64.2,77.5,0,7.8,1,97.1,Pass
164,8.4,60.3,87.1,1,5.7,1,79.7,Pass
165,22.7,100.0,93.7,0,10.0,1,100.0,Pass
166,18.3,100.0,54.8,0,7.9,1,93.5,Pass
167,21.6,100.0,57.8,0,6.1,1,98.7,Pass
168,30.2,93.5,51.1,0,6.1,1,100.0,Pass
169,13.0,93.9,66.5,1,6.9,1,90.1,Pass
170,9.0,97.8,77.0,0,6.6,1,91.9,Pass
171,7.9,96.4,84.8,0,8.7,1,97.0,Pass
172,8.5,89.2,68.9,1,7.3,1,84.1,Pass
173,14.4,86.6,65.2,0,5.9,1,86.6,Pass
174,17.7,84.1,72.3,1,9.8,1,91.9,Pass
175,17.2,73.7,57.5,0,7.1,1,74.3,Pass
176,21.6,80.8,100.0,0,8.2,0,100.0,Pass
177,15.1,59.6,45.9,0,6.1,1,68.9,Pass
178,26.6,83.5,72.8,0,7.5,1,100.0,Pass
179,12.9,70.2,100.0,1,7.5,1,94.5,Pass
180,36.8,68.4,70.1,1,4.2,1,94.2,Pass
181,20.0,87.7,67.1,0,10.0,1,98.0,Pass
182,8.1,100.0,64.6,0,8.9,1,85.1,Pass
183,6.4,98.8,67.3,1,6.4,1,96.4,Pass
184,18.9,61.4,90.6,1,5.3,0,81.1,Pass
185,13.2,70.2,36.8,0,7.5,1,72.0,Pass
186,20.7,99.1,93.0,0,7.1,1,100.0,Pass
187,18.8,70.3,48.6,0,7.5,1,83.9,Pass
188,14.4,81.6,66.0,1,7.3,0,86.3,Pass
189,8.2,93.3,63.6,0,7.8,1,84.0,Pass
190,2.9,70.5,78.8,0,9.2,1,84.2,Pass
191,11.4,86.6,46.0,1,7.9,1,84.5,Pass
192,21.9,65.0,76.9,0,5.4,1,89.3,Pass
193,16.7,76.0,100.0,0,9.0,1,94.4,Pass
194,5.0,89.8,49.6,0,9.5,1,74.0,Pass
195,16.4,61.1,72.8,0,10.0,1,86.9,Pass
196,18.1,91.6,60.1,0,5.3,1,87.5,Pass
197,7.9,84.7,76.4,0,7.4,1,89.3,Pass
198,16.2,93.3,70.3,0,4.0,1,89.0,Pass
199,15.5,88.4,60.4,0,7.8,1,90.6,Pass
200,5.9,100.0,77.3,1,6.2,1,84.0,Pass
201,17.9,86.9,97.1,1,9.9,1,100.0,Pass
202,19.5,78.6,67.1,0,5.8,0,85.1,Pass
203,23.7,86.8,80.8,0,4.5,1,100.0,Pass
204,23.4,93.1,50.6,0,6.3,1,88.4,Pass
205,4.0,85.7,55.7,0,4.0,1,73.8,Pass
206,7.5,85.6,77.1,0,8.1,1,81.0,Pass
207,19.1,74.5,92.3,1,4.0,0,94.0,Pass
208,19.1,75.1,75.3,0,7.0,1,88.7,Pass
209,19.1,64.0,65.3,0,4.0,1,78.6,Pass
210,40.0,100.0,70.0,0,6.5,1,100.0,Pass
211,19.6,66.3,51.2,1,9.5,1,80.6,Pass
212,24.1,74.6,79.1,0,7.5,1,92.7,Pass
213,22.6,74.2,83.2,1,5.7,1,98.6,Pass
214,20.2,98.4,63.2,0,7.0,1,100.0,Pass
215,12.5,80.6,62.9,1,7.0,1,85.9,Pass
216,21.1,100.0,74.0,1,7.7,1,100.0,Pass
217,8.8,74.9,63.4,0,4.9,1,74.9,Pass
218,13.1,89.2,69.0,0,7.9,1,100.0,Pass
219,11.1,72.5,100.0,0,4.0,1,77.1,Pass
220,15.7,100.0,66.3,0,6.1,1,94.0,Pass
221,33.5,67.2,64.6,1,6.3,1,89.3,Pass
222,2.0,89.6,60.3,1,7.9,1,69.9,Pass
223,20.5,94.5,81.2,1,7.0,1,100.0,Pass
224,2.1,91.2,67.3,1,4.9,1,81.4,Pass
225,11.2,82.2,60.3,0,5.5,1,78.8,Pass
226,23.7,83.1,89.8,0,7.3,1,100.0,Pass
227,15.5,85.7,91.3,1,6.9,1,100.0,Pass
228,6.4,82.8,61.0,0,6.1,1,76.4,Pass
229,9.3,99.5,42.0,1,6.3,1,86.8,Pass
230,20.4,100.0,85.1,0,8.0,1,100.0,Pass
231,9.2,76.6,59.7,0,6.2,1,78.7,Pass
232,16.7,64.5,81.9,1,6.9,0,85.8,Pass
233,15.4,83.7,40.4,0,10.0,1,82.8,Pass
234,9.8,100.0,83.4,1,4.9,1,100.0,Pass
235,32.2,72.9,51.8,1,4.2,1,97.7,Pass
236,20.1,100.0,81.0,1,8.2,1,100.0,Pass
237,2.0,100.0,70.2,1,6.0,1,75.1,Pass
238,16.5,76.7,55.7,0,6.5,1,80.6,Pass
239,9.7,93.5,63.9,1,5.8,1,100.0,Pass
240,21.8,100.0,80.3,0,6.6,1,100.0,Pass
241,8.7,79.3,71.6,0,9.4,1,91.7,Pass
242,14.1,81.9,78.8,1,8.2,1,100.0,Pass
243,19.0,76.3,99.6,0,8.3,1,100.0,Pass
244,21.9,69.8,46.5,0,4.9,1,74.5,Pass
245,5.4,75.3,94.3,0,5.3,1,70.4,Pass
246,12.3,66.6,71.6,0,4.0,1,79.4,Pass
247,11.2,85.5,56.5,1,5.8,1,79.7,Pass
248,9.8,73.5,50.0,0,8.4,1,77.7,Pass
249,29.1,88.5,67.2,1,7.8,1,99.3,Pass
250,18.2,61.7,83.8,1,6.7,1,88.1,Pass
251,4.9,90.0,68.1,1,7.0,1,86.0,Pass
252,22.3,97.5,92.7,0,6.0,1,100.0,Pass
253,32.0,55.1,48.2,1,7.3,1,82.5,Pass
254,23.3,90.6,69.8,0,8.1,0,100.0,Pass
255,2.8,100.0,51.2,1,4.6,1,76.5,Pass
256,11.1,66.9,75.5,0,7.4,1,73.1,Pass
257,25.1,100.0,83.3,1,8.4,1,100.0,Pass
258,9.3,91.3,63.7,1,6.4,1,87.8,Pass
259,18.6,74.4,30.9,0,8.1,0,76.8,Pass
260,21.2,84.2,73.0,0,10.0,1,100.0,Pass
261,7.6,93.4,76.6,1,6.8,1,90.5,Pass
262,14.5,86.1,76.1,0,7.6,1,91.7,Pass
263,2.0,93.1,88.5,1,5.9,1,83.7,Pass
264,6.8,71.2,53.9,0,7.3,0,75.1,Pass
265,13.0,87.5,80.2,0,7.7,0,91.9,Pass
266,5.0,63.8,87.9,1,7.3,1,79.7,Pass
267,28.1,83.3,43.3,1,5.5,1,82.5,Pass
268,3.6,71.4,74.8,1,7.3,1,87.0,Pass
269,11.5,74.0,62.4,0,9.2,1,77.2,Pass
270,16.0,100.0,68.8,1,7.7,1,97.0,Pass
271,26.5,100.0,75.2,0,8.4,1,100.0,Pass
272,3.5,94.1,62.7,1,6.6,1,78.3,Pass
273,24.3,68.6,59.9,1,8.1,1,84.6,Pass
274,15.1,80.3,70.5,0,7.4,1,77.8,Pass
275,7.1,100.0,53.7,0,5.6,1,85.8,Pass
276,18.7,87.1,53.7,0,7.5,1,86.4,Pass
277,16.6,100.0,80.2,1,5.5,1,100.0,Pass
278,10.2,90.9,52.8,0,6.1,1,76.5,Pass
279,15.6,87.9,80.0,1,7.3,1,92.9,Pass
280,11.9,80.4,76.9,0,7.4,0,83.1,Pass
281,15.9,87.0,44.1,1,5.2,1,84.8,Pass
282,20.3,82.7,59.8,1,8.6,1,92.8,Pass
283,27.7,95.6,87.9,0,7.9,1,100.0,Pass
284,5.1,99.4,55.3,0,5.9,1,76.4,Pass
285,32.1,73.2,63.0,0,4.7,0,84.0,Pass
286,2.0,65.0,76.9,1,6.8,1,66.9,Pass
287,13.8,57.5,81.8,1,6.3,0,69.9,Pass
288,19.7,92.6,66.2,0,7.2,1,92.8,Pass
289,17.2,68.4,61.0,1,6.5,1,82.7,Pass
290,10.0,52.7,91.3,0,4.0,1,71.3,Pass
291,13.3,90.8,96.1,0,6.4,1,100.0,Pass
292,11.1,100.0,84.7,1,6.5,1,100.0,Pass
293,10.3,84.9,71.3,0,8.0,1,85.8,Pass
294,21.8,97.6,57.9,0,6.0,1,85.8,Pass
295,17.9,86.2,57.5,0,9.5,0,87.5,Pass
296,9.5,83.5,77.8,0,4.1,1,79.5,Pass
297,22.2,98.8,76.3,0,9.0,1,100.0,Pass
298,17.5,80.6,91.0,0,6.7,1,92.0,Pass
299,21.5,89.0,79.8,1,8.3,1,100.0,Pass
300,20.0,89.8,47.5,0,7.1,1,86.9,Pass
301,8.4,75.0,85.8,0,8.7,1,84.3,Pass
302,10.5,99.9,55.0,0,6.4,1,87.5,Pass
303,21.0,82.4,64.2,0,5.4,1,90.8,Pass
304,19.9,73.7,73.8,1,9.1,1,91.6,Pass
305,14.8,93.0,99.9,1,6.8,1,100.0,Pass
306,15.9,71.5,100.0,0,7.3,1,89.5,Pass
307,25.2,85.4,79.1,1,8.9,1,98.3,Pass
308,10.3,84.9,67.3,0,5.5,1,84.4,Pass
309,19.4,100.0,78.0,0,7.9,1,98.7,Pass
310,13.4,92.1,83.3,0,6.1,0,93.3,Pass
311,13.3,84.6,65.2,0,6.8,1,74.2,Pass
312,23.8,97.3,96.9,0,7.1,1,100.0,Pass
313,21.6,100.0,73.5,1,4.7,1,100.0,Pass
314,21.5,93.4,77.5,0,5.8,1,91.0,Pass
315,25.4,85.2,80.0,1,9.0,1,99.6,Pass
316,15.2,65.3,76.3,0,8.3,1,94.0,Pass
317,20.5,69.0,82.6,0,6.9,0,85.4,Pass
318,12.5,80.4,60.7,1,7.4,1,82.3,Pass
319,17.6,75.9,61.6,0,6.6,1,73.4,Pass
320,14.0,82.2,53.5,0,9.0,1,83.9,Pass
321,15.8,85.8,76.6,1,6.7,1,93.8,Pass
322,19.8,92.9,81.7,1,7.3,1,100.0,Pass
323,8.5,83.9,76.9,1,8.7,1,84.5,Pass
324,31.7,92.3,95.1,1,5.8,1,100.0,Pass
325,7.0,86.0,69.9,1,9.3,0,90.2,Pass
326,5.3,55.4,80.0,1,4.7,1,77.5,Pass
327,24.3,70.9,53.6,0,9.4,1,82.2,Pass
328,21.3,82.8,64.2,0,6.4,1,96.5,Pass
329,20.0,66.9,80.4,0,6.6,1,89.0,Pass
330,20.0,94.0,82.7,0,4.2,1,100.0,Pass
331,14.9,100.0,65.6,1,6.3,1,95.7,Pass
332,7.8,100.0,68.9,1,5.4,1,77.5,Pass
333,15.6,81.8,47.2,0,6.1,1,79.7,Pass
334,9.6,100.0,64.6,0,6.8,1,94.6,Pass
335,22.8,87.2,83.4,1,8.4,1,100.0,Pass
336,13.8,79.9,78.6,0,7.3,1,87.7,Pass
337,8.4,75.8,77.5,1,7.5,1,85.6,Pass
338,12.4,80.5,70.7,0,5.4,1,68.9,Pass
339,18.3,79.2,70.1,0,5.7,0,94.2,Pass
340,10.5,87.6,60.1,0,9.7,1,83.5,Pass
341,8.4,87.4,80.5,0,5.9,1,89.2,Pass
342,16.9,85.0,76.3,1,9.5,1,99.3,Pass
343,17.0,91.6,77.4,1,6.6,1,100.0,Pass
344,10.9,100.0,62.1,1,7.0,1,94.9,Pass
345,11.2,99.2,37.7,0,8.6,0,81.7,Pass
346,16.9,62.7,86.5,0,8.9,1,85.4,Pass
347,3.4,46.7,62.8,1,6.8,1,69.5,Pass
348,3.7,99.0,57.1,1,6.4,1,75.0,Pass
349,9.3,64.5,80.4,0,6.9,1,82.9,Pass
350,13.3,81.6,64.1,0,7.5,1,80.3,Pass
351,17.5,67.4,85.9,1,8.3,1,100.0,Pass
352,26.8,58.0,79.3,0,7.0,1,91.7,Pass
353,21.9,93.1,80.3,0,7.9,1,100.0,Pass
354,13.7,96.4,49.5,0,9.5,1,91.0,Pass
355,14.8,76.4,88.2,0,7.6,1,83.5,Pass
356,7.0,46.1,73.9,1,7.5,1,68.1,Pass
357,14.9,76.8,64.5,1,4.7,0,85.4,Pass
358,12.7,90.9,72.2,0,4.0,1,87.0,Pass
359,17.6,62.8,43.4,0,7.6,1,81.5,Pass
360,8.4,87.8,76.1,0,6.9,1,88.9,Pass
361,19.2,84.8,54.6,0,6.2,1,82.1,Pass
362,27.3,93.7,49.7,0,7.4,1,93.3,Pass
363,14.1,86.8,47.2,1,6.9,1,86.0,Pass
364,18.2,70.4,86.7,0,8.7,1,82.2,Pass
365,20.5,100.0,60.6,0,7.1,1,100.0,Pass
366,11.8,82.6,93.0,0,5.9,1,93.4,Pass
367,16.8,84.6,62.0,0,8.5,1,96.7,Pass
368,15.1,71.0,44.4,0,6.7,1,67.9,Pass
369,15.8,78.4,53.3,0,7.8,1,89.8,Pass
370,8.8,71.7,88.5,1,6.3,1,97.9,Pass
371,15.2,82.4,67.7,0,6.0,1,79.9,Pass
372,19.0,100.0,61.8,0,7.1,1,100.0,Pass
373,26.6,64.4,72.4,1,7.0,1,94.3,Pass
374,22.7,60.8,77.5,1,7.7,1,84.6,Pass
375,32.2,100.0,86.8,0,6.6,1,100.0,Pass
376,8.9,81.9,91.7,1,4.2,0,90.9,Pass
377,22.0,75.0,64.6,0,6.4,1,85.5,Pass
378,16.5,100.0,50.1,0,8.2,0,96.3,Pass
379,32.5,75.9,63.8,0,6.6,1,89.0,Pass
380,8.5,100.0,73.9,1,6.6,1,86.5,Pass
381,8.3,95.2,55.5,1,8.5,1,89.8,Pass
382,10.2,77.7,55.6,0,5.9,1,77.0,Pass
383,2.0,100.0,75.2,0,4.7,0,77.6,Pass
384,10.8,75.9,69.3,1,6.8,1,89.0,Pass
385,8.9,96.1,70.5,0,6.3,1,90.8,Pass
386,16.2,89.5,58.6,0,5.6,1,91.0,Pass
387,17.7,100.0,66.5,1,6.7,1,98.6,Pass
388,30.0,100.0,56.1,1,7.7,1,100.0,Pass
389,22.6,85.5,83.4,1,7.0,1,100.0,Pass
390,10.4,73.7,85.5,1,7.5,1,99.9,Pass
391,7.8,91.9,42.3,0,9.7,1,78.2,Pass
392,18.9,74.8,56.1,1,6.5,1,97.2,Pass
393,4.4,100.0,47.6,1,7.4,0,82.1,Pass
394,29.7,87.0,60.2,0,6.2,1,91.1,Pass
395,24.4,79.5,68.7,0,5.7,1,99.4,Pass
396,11.2,87.8,48.3,0,6.1,1,80.4,Pass
397,2.0,64.8,56.2,0,6.3,1,70.0,Pass
398,25.8,70.4,54.9,1,7.5,1,97.7,Pass
399,14.1,100.0,73.1,1,10.0,1,100.0,Pass
400,24.9,75.1,71.0,0,5.9,0,87.2,Pass
401,2.2,69.3,59.2,0,6.4,1,73.7,Pass
402,10.2,93.0,72.7,1,6.9,0,90.5,Pass
403,15.0,100.0,61.8,0,7.6,1,97.4,Pass
404,15.4,95.8,65.9,0,7.4,1,82.7,Pass
405,11.4,99.9,95.1,0,8.9,1,100.0,Pass
406,20.0,73.6,90.1,0,4.0,1,87.3,Pass
407,6.5,63.7,50.5,0,4.0,1,72.1,Pass
408,13.9,100.0,82.4,0,6.3,1,100.0,Pass
409,16.0,80.2,82.2,0,8.6,1,95.7,Pass
410,19.1,81.2,52.8,0,4.7,1,85.0,Pass
411,20.7,100.0,82.3,0,4.0,1,94.2,Pass
412,6.0,93.3,93.1,0,7.9,1,100.0,Pass
413,2.7,91.8,53.2,1,7.4,1,90.9,Pass
414,25.2,100.0,56.2,1,5.4,1,100.0,Pass
415,17.7,75.3,85.3,0,5.5,1,98.1,Pass
416,9.0,98.9,74.1,0,5.5,1,86.5,Pass
417,27.4,85.9,78.3,1,7.2,1,100.0,Pass
418,15.9,89.0,75.1,0,6.1,0,90.2,Pass
419,24.4,100.0,75.9,0,7.7,1,100.0,Pass
420,15.5,92.6,50.1,1,4.0,1,83.5,Pass
421,31.5,93.1,85.7,1,5.7,1,100.0,Pass
422,29.0,100.0,87.5,1,5.3,1,100.0,Pass
423,13.0,79.5,66.6,0,6.6,1,79.1,Pass
424,22.8,72.4,69.3,1,6.2,1,94.9,Pass
425,20.2,69.3,47.0,0,8.2,1,86.6,Pass
426,25.9,55.5,77.7,1,4.2,1,88.4,Pass
427,7.3,100.0,78.6,0,7.1,1,97.8,Pass
428,20.5,68.5,69.1,0,7.8,1,82.2,Pass
429,23.5,81.7,86.9,1,9.8,1,100.0,Pass
430,2.0,80.8,65.0,0,6.3,1,69.0,Pass
431,5.5,89.6,78.5,0,7.5,1,81.5,Pass
432,2.0,97.2,54.7,1,4.3,0,73.2,Pass
433,12.8,97.9,69.6,0,4.0,1,83.6,Pass
434,20.7,76.3,67.4,0,8.3,1,89.0,Pass
435,27.0,82.5,73.4,0,7.0,1,98.0,Pass
436,15.6,89.2,64.5,1,8.8,0,97.8,Pass
437,28.0,81.3,68.0,1,4.9,1,96.1,Pass
438,4.0,100.0,82.4,0,7.8,0,81.6,Pass
439,2.0,92.4,63.4,1,9.8,0,91.0,Pass
440,14.6,96.0,45.9,0,7.6,1,83.1,Pass
441,18.1,94.9,96.2,1,7.4,1,100.0,Pass
442,14.7,100.0,90.7,0,7.0,1,100.0,Pass
443,2.0,87.7,50.6,0,4.6,1,71.8,Pass
444,14.3,65.5,80.3,1,9.0,1,95.8,Pass
445,4.6,91.0,62.5,0,6.1,0,80.3,Pass
446,20.4,75.2,74.0,0,7.8,1,87.9,Pass
447,17.9,77.1,74.4,0,4.7,1,97.4,Pass
448,7.5,93.8,66.5,1,5.2,1,87.3,Pass
449,10.9,100.0,58.2,0,9.2,1,91.2,Pass
450,6.5,85.3,59.6,0,6.5,1,83.8,Pass
451,14.5,89.6,56.3,0,9.2,1,91.3,Pass
452,22.6,100.0,57.5,0,6.9,1,99.7,Pass
453,7.1,88.6,69.0,0,4.2,1,92.7,Pass
454,19.0,100.0,59.3,1,8.3,1,99.1,Pass
455,10.8,93.5,80.2,1,6.1,1,92.7,Pass
456,8.7,58.6,92.3,0,8.0,1,82.7,Pass
457,14.1,96.3,61.3,0,7.0,1,96.1,Pass
458,6.7,90.7,73.6,0,4.7,1,75.2,Pass
459,10.6,100.0,77.5,0,7.2,0,82.7,Pass
460,5.4,95.1,77.1,1,10.0,1,92.6,Pass
461,30.7,82.9,71.1,0,7.7,0,92.5,Pass
462,15.3,66.6,81.1,0,6.9,1,83.5,Pass
